Team Name,Region,CSL Link,Series Record,Series Wins,Series Losses,Game Record,Game Wins,Game Losses,Average Rank,Average Rank Number,First OP.GG,Second OP.GG
Skidmore Esports Club,North-east | 6,https://cstarleague.com/lol/teams/10105,0 - 4,0,4,0 - 8,0,8,Gold 2,15.0,"https://na.op.gg/multi/query=Complete Cancer,Peking Da Duck,Vunyrus,i ma1n adc,RickestRick007,chòngy,dorj,MaurisUnicornis,",
Molloy Esports Open,North-east | 6,https://cstarleague.com/lol/teams/9190,0 - 5,0,5,0 - 10,0,10,Gold 1,16.0,"https://na.op.gg/multi/query=Addie Daddyy,Admiral Adob0,Zingblob,Smaglefop,Modelity,Summoner 9527,Suzzıe,",
Evan is Pepega,North-east | 5,https://cstarleague.com/lol/teams/11094,5 - 1,5,1,10 - 3,10,3,Platinum 2,19.0,"https://na.op.gg/multi/query=McSlap,clamyboy19,Lamboyant,Aplox,InfernalEternity,Turnipgreen,Lillifer,oCosmos,Mat196,",
EGDCollective - Team C,North-east | 5,https://cstarleague.com/lol/teams/10235,5 - 0,5,0,10 - 0,10,0,Platinum 4,17.0,"https://na.op.gg/multi/query=lZenithl,PTeXD,Fancy,derping4laughs,A Dandy Guy,NessStarStorm,bye guys,Kujo Jotaro,SouperPlatypus,",
Stockton Ospreys,North-east | 5,https://cstarleague.com/lol/teams/1637,4 - 1,4,1,8 - 3,8,3,Platinum 2,19.0,"https://na.op.gg/multi/query=The Midget Cow,Aureu,shiyori7,Appä,The Fire Ferret,Boozie,A Nice Ward,Kaybun,",
Shenzi's Frenzies,North-east | 5,https://cstarleague.com/lol/teams/11375,4 - 1,4,1,8 - 2,8,2,Platinum 2,19.0,"https://na.op.gg/multi/query=DezQue,CloneEngi,Blue Psyduck,Vinçent,Dudebay,Stewfish,29rosebud,ThatOneDan,",
NYU Bluee,North-east | 5,https://cstarleague.com/lol/teams/10010,4 - 1,4,1,8 - 2,8,2,Platinum 4,17.0,"https://na.op.gg/multi/query=Taıwan,devioushobo,Gengthebull,RykoZin,Loix,unclebroho,Brainded Yi,",
Colgate University A,North-east | 5,https://cstarleague.com/lol/teams/10786,4 - 1,4,1,8 - 2,8,2,Gold 2,15.0,"https://na.op.gg/multi/query=Int To The Fray,joeofsam,Skippy Shadow,Gunnyyy,Free Zealot,Graymousser,Âir,Dragon of Pines,crazyknight007,",
DCES,North-east | 5,https://cstarleague.com/lol/teams/8759,3 - 3,3,3,7 - 6,7,6,Platinum 4,17.0,"https://na.op.gg/multi/query=FallenConscript,Stany1,Senna Is My Luv,Snow Whit3,Virrx1,Mercμry,awsomematt11,Phealy,",
NYU GREEN,North-east | 5,https://cstarleague.com/lol/teams/10451,3 - 2,3,2,6 - 5,6,5,Platinum 1,20.0,"https://na.op.gg/multi/query=Skewersewer,Celestial Marten,RNG Theshy,next time,hideseek34567,Kąmi,speedinbullet2he,Through the Wire,",
Big Blue Esports,North-east | 5,https://cstarleague.com/lol/teams/11220,1 - 5,1,5,4 - 10,4,10,Platinum 4,17.0,"https://na.op.gg/multi/query=Hazardous Khaos,TheOnlyBroski,Spectre522,TL Rui,Try Letting Go,WhyCanINotGetANa,GoIdendrake,ShouldaCalledMIA,",
"Big Red, Big Brain",North-east | 5,https://cstarleague.com/lol/teams/10254,1 - 4,1,4,3 - 8,3,8,Gold 4,13.0,"https://na.op.gg/multi/query=XalkXolc,Anålÿšt,Thanatos4U,SunnyD Swag,Fatum et Fortuna,SKZ Changlix,death buy cactus,",
Fredonia Esports Club B,North-east | 5,https://cstarleague.com/lol/teams/10270,1 - 4,1,4,2 - 9,2,9,Gold 4,13.0,"https://na.op.gg/multi/query=IAMTROLLMASTER,Nae Ireum Jalmot,BionicChemist,Wildbeats,Yalvokar,Boot Cop,Kaitomaru,PoisonousCobra,",
SHUWHITE,North-east | 5,https://cstarleague.com/lol/teams/10103,0 - 6,0,6,0 - 12,0,12,Silver 2,11.0,"https://na.op.gg/multi/query=Linley Baruch,yolister,Roven,GiftWrappedDoge,Etan UwU,",
Cornell JV Intsquad,North-east | 5,https://cstarleague.com/lol/teams/11520,0 - 6,0,6,0 - 12,0,12,Gold 3,14.0,"https://na.op.gg/multi/query=Ælpha,Lezerpork,zginmk,th3creator,JenderBender,Shasty88,",
Twenty Fourteen,North-east | 4,https://cstarleague.com/lol/teams/10288,5 - 0,5,0,11 - 0,11,0,Platinum 1,20.0,"https://na.op.gg/multi/query=DlG Baron,Bulby,blackpenredpen,nontoxic topgod,KatAhri,RukShukWarrior,vále,RednaxeIa,",
UC LoL A Team,North-east | 4,https://cstarleague.com/lol/teams/11459,4 - 0,4,0,8 - 0,8,0,Diamond 3,22.0,"https://na.op.gg/multi/query=TheKmanIsABeast,Kuro Yami Hanshu,Mrmaxmax1423,The Golden King,Hamilet,Hakubak,surfyo,",
Raj's Redemption,North-east | 4,https://cstarleague.com/lol/teams/11373,4 - 2,4,2,8 - 5,8,5,Platinum 3,18.0,"https://na.op.gg/multi/query=Siked,ArchSpartan,Kilian,Blue Psyduck,SupahV7,Evrythe,Nucleic,Haifuri,Disgraceful Fish,",
