name,team,region,rank,rankValue,op.gg
Ketchupants73,WLU LoL,North-east | 1,Platinum 4,17,https://na.op.gg/summoner/userName=Ketchupants73
Sorâ,WLU LoL,North-east | 1,Diamond 4,21,https://na.op.gg/summoner/userName=Sorâ
TheG0ose,WLU LoL,North-east | 1,Platinum 4,17,https://na.op.gg/summoner/userName=TheG0ose
WKU eSports,WKU Hilltoppers B,North-east | 1,Unranked,0,https://na.op.gg/summoner/userName=WKU eSports
Kiraeyl,WKU Hilltoppers B,North-east | 1,Silver 2,11,https://na.op.gg/summoner/userName=Kiraeyl
RivalC,WKU Hilltoppers B,North-east | 1,Unranked,0,https://na.op.gg/summoner/userName=RivalC
Tazmaniak,WKU Hilltoppers B,North-east | 1,Silver 1,12,https://na.op.gg/summoner/userName=Tazmaniak
Miffed,WKU Hilltoppers B,North-east | 1,Diamond 4,21,https://na.op.gg/summoner/userName=Miffed
Ev3rnight,WKU Hilltoppers B,North-east | 1,Silver 2,11,https://na.op.gg/summoner/userName=Ev3rnight
Montresk,WKU Hilltoppers B,North-east | 1,Gold 2,15,https://na.op.gg/summoner/userName=Montresk
AggroZen,WKU Hilltoppers B,North-east | 1,Gold 2,15,https://na.op.gg/summoner/userName=AggroZen
maýa,WKU Hilltoppers B,North-east | 1,Silver 2,11,https://na.op.gg/summoner/userName=maýa
CCUEsports,CCU League of Legends,North-east | 1,Unranked,0,https://na.op.gg/summoner/userName=CCUEsports
Shådows,CCU League of Legends,North-east | 1,Diamond 4,21,https://na.op.gg/summoner/userName=Shådows
