teamName,region,link,rank,rankValue,seriesWins,seriesLosses,gameWins,gameLosses,rank5,rank5Value,playerList,opgg1,opgg2
GVSU Laker Legends B Team,North-east | 2,/lol/teams/9900,Platinum 4,17,4,1,8,3,Diamond 4,21,"['KiwiSocks', 'Whalis', 'MIkeTheDemonic', 'FFZedIsFed', 'cookie52002', 'xAGEofMYTHx', 'boc', 'GVSU Chad', 'rk231', 'Tillo']","https://na.op.gg/multi/query=KiwiSocks,Whalis,MIkeTheDemonic,FFZedIsFed,cookie52002,xAGEofMYTHx,boc,GVSU Chad,rk231,Tillo,",https://na.op.gg/multi/query=
OU Tempest,North-east | 2,/lol/teams/7033,Platinum 1,20,3,3,7,6,Diamond 3,22,"['Foreign Guy', 'Kitz Snipez', 'RevelationX03', 'dok', 'Laglicious', 'TheAsianInvasion', 'Flabbyb', 'PepperoniTomato', 'myless', 'Myosin', 'LOLGod2000', 'KilroyTheGreat']","https://na.op.gg/multi/query=Foreign Guy,Kitz Snipez,RevelationX03,dok,Laglicious,TheAsianInvasion,Flabbyb,PepperoniTomato,myless,Myosin,","https://na.op.gg/multi/query=LOLGod2000,KilroyTheGreat,"
Miami University Big Boys,North-east | 2,/lol/teams/9179,Platinum 3,18,3,2,7,4,Platinum 2,19,"['eFrFLennon', 'Humor', 'Raining In Japan', 'DTPALM2001', 'DCart3r', 'Elite Prada', 'BlindXebra', 'CarryMePlsZzz']","https://na.op.gg/multi/query=eFrFLennon,Humor,Raining In Japan,DTPALM2001,DCart3r,Elite Prada,BlindXebra,CarryMePlsZzz,",https://na.op.gg/multi/query=
Real Team Six,North-east | 2,/lol/teams/10241,Platinum 3,18,3,2,6,5,Platinum 2,19,"['Roguewolfman', 'SheerLucke', 'Snowﬂake', 'Yáng Chäo Yuè', 'Jissbon Vanilla', 'Rashnar', 'Lissàndrà']","https://na.op.gg/multi/query=Roguewolfman,SheerLucke,Snowﬂake,Yáng Chäo Yuè,Jissbon Vanilla,Rashnar,Lissàndrà,",https://na.op.gg/multi/query=
Michigan Dragon,North-east | 2,/lol/teams/10413,Platinum 4,17,3,1,6,2,Diamond 4,21,"['SelyntronNayder', 'AYAYA OMEGALUL', 'Osteoclast', 'Chiisama', 'wtc6546x3', 'Adosh', 'Aspêct', 'Not Robert']","https://na.op.gg/multi/query=SelyntronNayder,AYAYA OMEGALUL,Osteoclast,Chiisama,wtc6546x3,Adosh,Aspêct,Not Robert,",https://na.op.gg/multi/query=
MGE JV,North-east | 2,/lol/teams/10948,Gold 1,16,2,3,5,7,Platinum 4,17,"['MGE Kuriboh', 'Smorp123', 'Eamonn', 'UndefiedKing', 'Suess', 'Znith', 'TheNoneAndOnly', 'NobleElk', 'Mail God']","https://na.op.gg/multi/query=MGE Kuriboh,Smorp123,Eamonn,UndefiedKing,Suess,Znith,TheNoneAndOnly,NobleElk,Mail God,",https://na.op.gg/multi/query=
FSU Bulldogs,North-east | 2,/lol/teams/6608,Gold 2,15,2,4,4,8,Gold 1,16,"['Minecraftforxbox', 'FSU Andy', 'Dwuarf', 'Cheez', 'Huskerz', 'Mishli']","https://na.op.gg/multi/query=Minecraftforxbox,FSU Andy,Dwuarf,Cheez,Huskerz,Mishli,",https://na.op.gg/multi/query=
Alma College Varsity,North-east | 2,/lol/teams/11129,Gold 1,16,1,2,2,4,Platinum 3,18,"['Shyfron', 'Inuke73', 'Pink Caboose', '1 minute', 'Mønty', 'TwilightKnight12', 'NubiiNeth']","https://na.op.gg/multi/query=Shyfron,Inuke73,Pink Caboose,1 minute,Mønty,TwilightKnight12,NubiiNeth,",https://na.op.gg/multi/query=
Wayne Warriors - Green,North-east | 2,/lol/teams/7688,Platinum 4,17,0,4,0,8,Diamond 4,21,"['Tape', 'SniffohGod', 'Avrofosho', 'TV0', 'Tokkkul', 'Lord Sazuri', 'KingRoli', 'Rubbish Talon', 'Icarrus45', 'BULGOGI BOYZ', 'The Cleaner', '51020Sioux48042', 'Tekoya']","https://na.op.gg/multi/query=Tape,SniffohGod,Avrofosho,TV0,Tokkkul,Lord Sazuri,KingRoli,Rubbish Talon,Icarrus45,BULGOGI BOYZ,","https://na.op.gg/multi/query=The Cleaner,51020Sioux48042,Tekoya,"
MUwU,North-east | 2,/lol/teams/9174,Platinum 4,17,0,3,0,6,Platinum 4,17,"['Deafen', 'Humor', 'Danielson524', 'Elemanten', 'Voltaire', 'Doing His Job']","https://na.op.gg/multi/query=Deafen,Humor,Danielson524,Elemanten,Voltaire,Doing His Job,",https://na.op.gg/multi/query=
