teamName,region,link,rank,rankValue,seriesWins,seriesLosses,gameWins,gameLosses,rank5,rank5Value,playerList,opgg1,opgg2
UC Merced Junior Varsity Two,West 2,/lol/teams/7706,Silver 3,10,7,0,14,2,Gold 4,13,"['ßlake', 'mochimochii', 'gusbus123', 'NoLifeTempest', 'Al Dusty', 'Millburgo', 'SilverWolf88', 'GymnopedieTP']","https://na.op.gg/multi/query=ßlake,mochimochii,gusbus123,NoLifeTempest,Al Dusty,Millburgo,SilverWolf88,GymnopedieTP,",https://na.op.gg/multi/query=
Sleeper Diamonds,Midwest 1,/lol/teams/6744,Bronze 2,7,5,2,11,7,Silver 1,12,"['Himana', 'TrueRage', 'Rephriam', 'Xander of Astora', 'Calastic', 'Schiecenzoria', 'ImHymel', 'chargingbadgerOP', 'outsidedog']","https://na.op.gg/multi/query=Himana,TrueRage,Rephriam,Xander of Astora,Calastic,Schiecenzoria,ImHymel,chargingbadgerOP,outsidedog,",https://na.op.gg/multi/query=
RMU Team Blue,East 6,/lol/teams/7318,Bronze 2,7,5,1,10,3,Silver 4,9,"['Mittica', 'Slurpe', 'NormTrooper67', 'russ217187', 'Strandomintoo', 'Gir Knives', 'Lanks']","https://na.op.gg/multi/query=Mittica,Slurpe,NormTrooper67,russ217187,Strandomintoo,Gir Knives,Lanks,",https://na.op.gg/multi/query=
Carnegie Mellon C,East 5,/lol/teams/6899,Iron 1,4,2,3,6,6,Bronze 4,5,"['Botistic', 'SanYona', 'DaKangster', 'Hakkuza', 'subwrxdragon', 'soulhates']","https://na.op.gg/multi/query=Botistic,SanYona,DaKangster,Hakkuza,subwrxdragon,soulhates,",https://na.op.gg/multi/query=
Duquesne Dukes Team Two,East 5,/lol/teams/7196,Iron 2,3,4,2,8,5,Bronze 4,5,"['Antartican Army', 'Cup of Raw Men', 'Luharis', 'ImmortalJD99', 'Themusician12', 'Robo Panda', 'Panzad21']","https://na.op.gg/multi/query=Antartican Army,Cup of Raw Men,Luharis,ImmortalJD99,Themusician12,Robo Panda,Panzad21,",https://na.op.gg/multi/query=
Hardrockers Team B,Midwest 2,/lol/teams/4646,Bronze 4,5,3,3,7,7,Bronze 4,5,"['Soxboy3', 'Nevery Every', 'Pows', 'Yolki', 'DMG Hennessy', 'Birdclaws', 'xiibrutusiix', 'Prase0dymium']","https://na.op.gg/multi/query=Soxboy3,Nevery Every,Pows,Yolki,DMG Hennessy,Birdclaws,xiibrutusiix,Prase0dymium,",https://na.op.gg/multi/query=
Cal Poly Gold,West 4,/lol/teams/6210,Silver 3,10,5,2,11,4,Platinum 2,19,"['Arceus411', 'Zeagle', 'TheRhyn0', 'Anmec', 'WarDoid', 'Fuzzyhamster', 'Kikio Lokio', 'DLD27', 'C9 STEPH', 'Mrmooraf', 'Carzard', 'OhhhFataL', 'BudgieKraz', 'Lone Laner', 'creeperkiller727']","https://na.op.gg/multi/query=Arceus411,Zeagle,TheRhyn0,Anmec,WarDoid,Fuzzyhamster,Kikio Lokio,DLD27,C9 STEPH,Mrmooraf,","https://na.op.gg/multi/query=Carzard,OhhhFataL,BudgieKraz,Lone Laner,creeperkiller727,"
Innovation,West 2,/lol/teams/7170,Bronze 3,6,2,5,4,10,Silver 4,9,"['snipegod', 'cookiesamanda', 'The Bengali Babu', 'PWNYOURFACE', 'Aeronui', 'Xayahrí', 'spartabird', 'cotg99', 'Low Fat Nut', 'Artemis755']","https://na.op.gg/multi/query=snipegod,cookiesamanda,The Bengali Babu,PWNYOURFACE,Aeronui,Xayahrí,spartabird,cotg99,Low Fat Nut,Artemis755,",https://na.op.gg/multi/query=
UofMB JV Two,Midwest 2,/lol/teams/6267,Bronze 1,8,5,1,10,5,Gold 4,13,"['No Chill Riven', 'Shotty', 'Fenn Rãu', 'coyslone', 'Píngg', 'Naømi', 'princessgaming99', 'Zhonyah']","https://na.op.gg/multi/query=No Chill Riven,Shotty,Fenn Rãu,coyslone,Píngg,Naømi,princessgaming99,Zhonyah,",https://na.op.gg/multi/query=
Northwestern Wildkits,Midwest 3,/lol/teams/7228,Bronze 1,8,3,3,6,6,Gold 4,13,"['thesecrettaco', 'Svobo', 'Sharp104', 'Liucifer20', 'Nazodude', 'postoso', 'marble7', 'uninstallkys', 'striker19191919', 'Scrumptious Pie', 'Naythen']","https://na.op.gg/multi/query=thesecrettaco,Svobo,Sharp104,Liucifer20,Nazodude,postoso,marble7,uninstallkys,striker19191919,Scrumptious Pie,","https://na.op.gg/multi/query=Naythen,"
NVe_White LoL,West 6,/lol/teams/5359,Silver 4,9,7,0,14,1,Gold 1,16,"['NVe SohN', 'Darius Bot', 'Vökàrê', 'Smashzer02', 'LusciousNight', 'Chimney Jones', 'Sinsanity101', 'DuskCrow', 'HDestroyer', 'MrDRPepperPorter']","https://na.op.gg/multi/query=NVe SohN,Darius Bot,Vökàrê,Smashzer02,LusciousNight,Chimney Jones,Sinsanity101,DuskCrow,HDestroyer,MrDRPepperPorter,",https://na.op.gg/multi/query=
McMaster LoL C-Team,North 3,/lol/teams/6831,Silver 4,9,4,2,9,4,Gold 3,14,"['Rezathegreat', 'ahrikidding', 'pyrpop', '4skinmuncher', 'Maanav', 'cocosbubbletea', 'Lutareus', 'chocofloat', 'Almighty Kermit', 'Www blacked com', 'Rotate2Win']","https://na.op.gg/multi/query=Rezathegreat,ahrikidding,pyrpop,4skinmuncher,Maanav,cocosbubbletea,Lutareus,chocofloat,Almighty Kermit,Www blacked com,","https://na.op.gg/multi/query=Rotate2Win,"
Navy Slugs,West 3,/lol/teams/5392,Iron 2,3,6,1,12,5,Iron 2,3,"['Byrden', 'Aethryen', 'Hentai69', 'Suavemente', 'Tsukiko Uchiha', 'VieraA']","https://na.op.gg/multi/query=Byrden,Aethryen,Hentai69,Suavemente,Tsukiko Uchiha,VieraA,",https://na.op.gg/multi/query=
EGDC - Team Alpha,East 8,/lol/teams/6312,Bronze 1,8,4,1,8,2,Gold 4,13,"['Nimimi', 'mamitaffy', 'Killtheman29', 'your trap waifu', 'KaiIIou', 'SweetBoredom', 'derping4laughs', 'ForbiddenU', 'Rodek', 'DerpyBananaz', '88Ryzing', 'Hanazawa', 'Lil Sweet Thing', 'MY JG FK SKS', 'Teshin', 'Nalrynaskime']","https://na.op.gg/multi/query=Nimimi,mamitaffy,Killtheman29,your trap waifu,KaiIIou,SweetBoredom,derping4laughs,ForbiddenU,Rodek,DerpyBananaz,","https://na.op.gg/multi/query=88Ryzing,Hanazawa,Lil Sweet Thing,MY JG FK SKS,Teshin,Nalrynaskime,"
VINCENTIAN LEAGUE IV,Midwest 3,/lol/teams/7155,Bronze 3,6,5,1,10,4,Bronze 1,8,"['Ryujin Tatsuya', 'NotTooShabbey', 'Daktag', 'Byakushii', 'ThatFattyPanda', 'The Jap Who Naps', 'Kaldoran']","https://na.op.gg/multi/query=Ryujin Tatsuya,NotTooShabbey,Daktag,Byakushii,ThatFattyPanda,The Jap Who Naps,Kaldoran,",https://na.op.gg/multi/query=
BU Red.Vengeance,Midwest 3,/lol/teams/7293,Silver 3,10,4,2,9,4,Gold 1,16,"['spartandeath1500', 'K0rasi', 'Brimako', 'ch1l1 ch33s3', 'AngryDwarf99', 'Amabssador Pan', 'y3oJ', 'Ënel', 'm1ck4y']","https://na.op.gg/multi/query=spartandeath1500,K0rasi,Brimako,ch1l1 ch33s3,AngryDwarf99,Amabssador Pan,y3oJ,Ënel,m1ck4y,",https://na.op.gg/multi/query=
Lsu Purple III,South 2,/lol/teams/6550,Iron 2,3,5,1,11,3,Iron 2,3,"['Super Birb', 'NyaaKitty', 'TimeToBomb', 'LF Cute Asian GF', 'asianface99', 'Teravolt', 'Raísíng Kayns', 'Croc Blocker']","https://na.op.gg/multi/query=Super Birb,NyaaKitty,TimeToBomb,LF Cute Asian GF,asianface99,Teravolt,Raísíng Kayns,Croc Blocker,",https://na.op.gg/multi/query=
