teamName,region,link,seriesWins,seriesLosses,gameWins,gameLosses,rank5,rank5Value,rank,rankValue,playerList,opgg1,opgg2
SBU Golden Baboons,North-east | 4,/lol/teams/11096,8,3,16,8,Gold 2,15,Gold 4,13,"['McSlap', 'Kilzzy', 'jstocs5', 'Piano Max', 'Shuya Camui', 'Caikness', 'DyNasty121', 'Deprusion', 'Aerisun']","https://na.op.gg/multi/query=McSlap,Kilzzy,jstocs5,Piano Max,Shuya Camui,Caikness,DyNasty121,Deprusion,Aerisun,",https://na.op.gg/multi/query=
Bronco Esports Rice Paper,South-west | 1,/lol/teams/6330,11,1,22,5,Gold 2,15,Gold 4,13,"['hypermonkieboi', 'PolyLens', 'skatepoiser', 'J0NX2', 'CapBarbosa', 'PineappleFear', 'Dumbledore Mid', 'Chaotic978', 'battleship2424', 'Mêrit']","https://na.op.gg/multi/query=hypermonkieboi,PolyLens,skatepoiser,J0NX2,CapBarbosa,PineappleFear,Dumbledore Mid,Chaotic978,battleship2424,Mêrit,",https://na.op.gg/multi/query=
RMU Team Red,North-east | 2,/lol/teams/10784,7,2,14,5,Gold 1,16,Silver 3,10,"['Mittica', 'Slurpe', 'NormTrooper67', 'LoefBloek', 'russ217187', 'NFC412', 'xillnoc', 'Strandomintoo', 'Gir Knives', 'Lanks', 'MonkWisdom', 'highly corrosive', 'Imwhipped', 'ShadowKyng']","https://na.op.gg/multi/query=Mittica,Slurpe,NormTrooper67,LoefBloek,russ217187,NFC412,xillnoc,Strandomintoo,Gir Knives,Lanks,","https://na.op.gg/multi/query=MonkWisdom,highly corrosive,Imwhipped,ShadowKyng,"
UHM Gold,South-west | 2,/lol/teams/10974,9,2,19,5,Gold 3,14,Silver 1,12,"['Ryzae', 'Poobin', 'Magicgateway', 'Mrbenjamin69', 'misticalhearts', 'Aureleei', 'thirtiethspark5', 'Kuìro', 'Seratoh', 'cGxOqSean', 'Socheatha', 'Pxxxhub']","https://na.op.gg/multi/query=Ryzae,Poobin,Magicgateway,Mrbenjamin69,misticalhearts,Aureleei,thirtiethspark5,Kuìro,Seratoh,cGxOqSean,","https://na.op.gg/multi/query=Socheatha,Pxxxhub,"
UVM Gold,North-east | 5,/lol/teams/9889,9,2,18,5,Gold 2,15,Silver 1,12,"['Macro xD', 'TheSphere', 'HotSweatyLads', 'I JWW I', 'ACon Excalibur', 'Taigerlol', 'EdgarIsAPoe', 'Łuz', 'Kitten of Storm']","https://na.op.gg/multi/query=Macro xD,TheSphere,HotSweatyLads,I JWW I,ACon Excalibur,Taigerlol,EdgarIsAPoe,Łuz,Kitten of Storm,",https://na.op.gg/multi/query=
Uvic Vikings,North-west,/lol/teams/5520,11,0,22,0,Bronze 2,7,Bronze 2,7,"['loli teemo', 'SamwiseTheGamgee', 'Linzek', 'Loli Kaze', 'TheMightyMeercat']","https://na.op.gg/multi/query=loli teemo,SamwiseTheGamgee,Linzek,Loli Kaze,TheMightyMeercat,",https://na.op.gg/multi/query=
LU Navy,North-east | 1,/lol/teams/7442,8,2,18,4,Gold 2,15,Gold 2,15,"['shieldflyer', 'Fycus', 'ebestrob', 'StarHunter36', 'TwilightTigress', 'Aneiron', 'Cyborg Dragon', 'Çrøss', 'JJtheBigThot', 'Tabbin']","https://na.op.gg/multi/query=shieldflyer,Fycus,ebestrob,StarHunter36,TwilightTigress,Aneiron,Cyborg Dragon,Çrøss,JJtheBigThot,Tabbin,",https://na.op.gg/multi/query=
La Flama Blanca,North,/lol/teams/9754,9,2,19,5,Gold 2,15,Gold 2,15,"['ahrikidding', 'pyrpop', '4skinmuncher', 'StoneSlash52', 'kevinpang', 'mohaimenxzcx', 'IFlyte', 'Akzinator', 'lilhaetae']","https://na.op.gg/multi/query=ahrikidding,pyrpop,4skinmuncher,StoneSlash52,kevinpang,mohaimenxzcx,IFlyte,Akzinator,lilhaetae,",https://na.op.gg/multi/query=
UCR C ONE,South-west | 2,/lol/teams/11245,10,1,21,5,Gold 1,16,Gold 4,13,"['Shybe', '5DemandsNot1Less', 'wynntastic', 'JJoon', 'Quantum Föam', 'Kant Kite', 'Bobthebuilder223']","https://na.op.gg/multi/query=Shybe,5DemandsNot1Less,wynntastic,JJoon,Quantum Föam,Kant Kite,Bobthebuilder223,",https://na.op.gg/multi/query=
Akron Zips Club Gold,North-east | 1,/lol/teams/10223,7,2,14,4,Gold 3,14,Silver 1,12,"['BrotherKingYugo', 'Maltier', 'pumpkinIRL', 'woofpack3', 'joesh23', 'Xen0nz', 'sennabun', 'Schoonz09', 'Drina', 'Wooderson', 'Pinbawl']","https://na.op.gg/multi/query=BrotherKingYugo,Maltier,pumpkinIRL,woofpack3,joesh23,Xen0nz,sennabun,Schoonz09,Drina,Wooderson,","https://na.op.gg/multi/query=Pinbawl,"
